Poll,Date,Sample,Clinton (D),Trump (R),Johnson (L),Stein (G),Spread
NBC News/SMNBC News,10/17 - 10/23,32225 LV,46,41,7,3,Clinton +5
,,,,,,,
QuinnipiacQuinnipiac,10/17 - 10/18,1007 LV,47,40,7,1,Clinton +7
,,,,,,,
Economist/YouGovEconomist,10/15 - 10/18,925 RV,42,38,6,1,Clinton +4
,,,,,,,
FOX NewsFOX News,10/15 - 10/17,912 LV,45,39,5,3,Clinton +6
,,,,,,,
BloombergBloomberg,10/14 - 10/17,1006 LV,47,38,8,3,Clinton +9
,,,,,,,
Reuters/IpsosReuters,10/13 - 10/17,1190 LV,42,38,6,2,Clinton +4
,,,,,,,
MonmouthMonmouth,10/14 - 10/16,726 LV,50,38,5,2,Clinton +12
,,,,,,,
CBS NewsCBS News,10/12 - 10/16,1189 LV,47,38,8,3,Clinton +9
,,,,,,,
NBC News/SMNBC News,10/10 - 10/16,24804 LV,46,40,8,4,Clinton +6
,,,,,,,
Boston GlobeBoston Globe,10/11 - 10/14,845 LV,46,36,5,2,Clinton +10
,,,,,,,
Rasmussen ReportsRasmussen,10/11 - 10/13,1500 LV,41,43,6,2,Trump +2
,,,,,,,
ABC News/Wash PostABC/WP,10/10 - 10/13,740 LV,47,43,5,2,Clinton +4
,,,,,,,
NBC News/Wall St. JrnlNBC/WSJ,10/10 - 10/13,905 LV,48,37,7,2,Clinton +11
,,,,,,,
FOX NewsFOX News,10/10 - 10/12,917 LV,45,38,7,3,Clinton +7
,,,,,,,
GWU/BattlegroundGWU/Battleground,10/8 - 10/13,1000 LV,47,39,8,2,Clinton +8
,,,,,,,
NBC News/Wall St. JrnlNBC/WSJ,10/8 - 10/10,806 LV,46,37,8,2,Clinton +9
,,,,,,,
Reuters/IpsosReuters,10/6 - 10/10,2363 LV,44,37,6,2,Clinton +7
,,,,,,,
NBC News/Wall St. JrnlNBC/WSJ,10/8 - 10/9,447 LV,46,35,9,2,Clinton +11
,,,,,,,
Rasmussen ReportsRasmussen,10/6 - 10/10,1500 LV,44,39,7,2,Clinton +5
,,,,,,,
Economist/YouGovEconomist,10/7 - 10/8,971 RV,44,38,5,1,Clinton +6
,,,,,,,
QuinnipiacQuinnipiac,10/5 - 10/6,1064 LV,45,40,6,3,Clinton +5
,,,,,,,
NBC News/SMNBC News,10/3 - 10/9,23329 LV,46,41,8,3,Clinton +5
,,,,,,,
FOX NewsFOX News,10/3 - 10/6,896 LV,44,42,6,2,Clinton +2
,,,,,,,
Rasmussen ReportsRasmussen,10/2 - 10/4,1500 LV,41,42,8,2,Trump +1
,,,,,,,
GravisGravis,10/3 - 10/3,1690 RV,44,44,5,1,Tie
,,,,,,,
Economist/YouGovEconomist,10/1 - 10/3,911 RV,43,40,5,3,Clinton +3
,,,,,,,
Reuters/IpsosReuters,9/29 - 10/3,1239 LV,42,36,8,2,Clinton +6
,,,,,,,
CNN/ORCCNN/ORC,9/28 - 10/2,1213 LV,47,42,7,2,Clinton +5
,,,,,,,
Rasmussen ReportsRasmussen,9/28 - 10/2,1500 LV,43,40,8,2,Clinton +3
,,,,,,,
CBS NewsCBS News,9/28 - 10/2,1217 LV,45,41,8,3,Clinton +4
,,,,,,,
FOX NewsFOX News,9/27 - 9/29,911 LV,43,40,8,4,Clinton +3
,,,,,,,
NBC News/SMNBC News,9/26 - 10/2,26925 LV,46,40,9,3,Clinton +6
,,,,,,,
Rasmussen ReportsRasmussen,9/27 - 9/29,1500 LV,43,42,6,2,Clinton +1
,,,,,,,
PPP (D)PPP (D),9/27 - 9/28,933 LV,44,40,6,1,Clinton +4
,,,,,,,
Rasmussen ReportsRasmussen,9/26 - 9/28,1500 LV,42,41,7,2,Clinton +1
,,,,,,,
Reuters/IpsosReuters,9/22 - 9/26,1041 LV,42,38,7,2,Clinton +4
,,,,,,,
QuinnipiacQuinnipiac,9/22 - 9/25,1115 LV,44,43,8,2,Clinton +1
,,,,,,,
BloombergBloomberg,9/21 - 9/24,1002 LV,41,43,8,4,Trump +2
,,,,,,,
MonmouthMonmouth,9/22 - 9/25,729 LV,46,42,8,2,Clinton +4
,,,,,,,
Economist/YouGovEconomist,9/22 - 9/24,948 RV,44,41,5,2,Clinton +3
,,,,,,,
NBC News/SMNBC News,9/19 - 9/25,13598 LV,45,40,10,3,Clinton +5
,,,,,,,
ABC News/Wash PostABC/WP,9/19 - 9/22,651 LV,46,44,5,1,Clinton +2
,,,,,,,
Rasmussen ReportsRasmussen,9/20 - 9/21,1000 LV,39,44,8,2,Trump +5
,,,,,,,
GravisGravis,9/20 - 9/20,1560 LV,44,40,5,2,Clinton +4
,,,,,,,
Economist/YouGovEconomist,9/18 - 9/19,936 RV,40,38,7,2,Clinton +2
,,,,,,,
Reuters/IpsosReuters,9/15 - 9/19,1111 LV,37,39,7,2,Trump +2
,,,,,,,
McClatchy/MaristMcClatchy,9/15 - 9/20,758 LV,45,39,10,4,Clinton +6
,,,,,,,
NBC News/Wall St. JrnlNBC/WSJ,9/16 - 9/19,922 LV,43,37,9,2,Clinton +6
,,,,,,,
Associated Press-GfKAP-GfK,9/15 - 9/16,1251 LV,45,39,9,2,Clinton +6
,,,,,,,
NBC News/SMNBC News,9/12 - 9/18,13320 LV,45,40,10,4,Clinton +5
,,,,,,,
FOX NewsFOX News,9/11 - 9/14,867 LV,41,40,8,3,Clinton +1
,,,,,,,
Rasmussen ReportsRasmussen,9/12 - 9/13,1000 LV,40,42,7,2,Trump +2
,,,,,,,
CBS News/NY TimesCBS/NYT,9/9 - 9/13,1433 LV,42,42,8,4,Tie
,,,,,,,
Economist/YouGovEconomist,9/10 - 9/13,926 RV,42,40,5,3,Clinton +2
,,,,,,,
QuinnipiacQuinnipiac,9/8 - 9/13,960 LV,41,39,13,4,Clinton +2
,,,,,,,
Reuters/IpsosReuters,9/8 - 9/12,1127 LV,39,39,8,2,Tie
,,,,,,,
NBC News/SMNBC News,9/5 - 9/11,16220 RV,42,40,11,4,Clinton +2
,,,,,,,
GravisGravis,9/7 - 9/8,2348 LV,43,40,7,1,Clinton +3
,,,,,,,
ABC News/Wash PostABC/WP,9/5 - 9/8,642 LV,46,41,9,2,Clinton +5
,,,,,,,
Rasmussen ReportsRasmussen,9/6 - 9/7,1000 LV,43,39,9,2,Clinton +4
,,,,,,,
Economist/YouGovEconomist,9/4 - 9/6,955 RV,40,38,7,5,Clinton +2
,,,,,,,
Reuters/IpsosReuters,9/1 - 9/5,1084 LV,40,38,8,3,Clinton +2
,,,,,,,
CNN/ORCCNN/ORC,9/1 - 9/4,786 LV,43,45,7,2,Trump +2
,,,,,,,
NBC News/SMNBC News,8/29 - 9/4,32226 RV,41,37,12,4,Clinton +4
,,,,,,,
GWU/BattlegroundGWU/Battleground,8/28 - 9/1,1000 LV,42,40,11,3,Clinton +2
,,,,,,,
IBD/TIPPIBD/TIPP,8/26 - 9/1,861 LV,39,39,12,3,Tie
,,,,,,,
FOX NewsFOX News,8/28 - 8/30,1011 RV,41,39,9,4,Clinton +2
,,,,,,,
Rasmussen ReportsRasmussen,8/29 - 8/30,1000 LV,39,40,7,3,Trump +1
,,,,,,,
PPP (D)PPP (D),8/26 - 8/28,881 LV,42,37,6,4,Clinton +5
,,,,,,,
Economist/YouGovEconomist,8/27 - 8/29,1119 RV,42,37,7,3,Clinton +5
,,,,,,,
Reuters/IpsosReuters,8/25 - 8/29,1404 LV,40,38,6,2,Clinton +2
,,,,,,,
MonmouthMonmouth,8/25 - 8/28,689 LV,46,39,7,2,Clinton +7
,,,,,,,
USA Today/SuffolkUSA Today,8/24 - 8/29,1000 LV,42,35,9,4,Clinton +7
,,,,,,,
NBC News/SMNBC News,8/22 - 8/28,24104 RV,41,37,11,5,Clinton +4
,,,,,,,
GravisGravis,8/22 - 8/23,1493 LV,42,41,4,1,Clinton +1
,,,,,,,
Rasmussen ReportsRasmussen,8/23 - 8/24,1000 LV,42,38,9,2,Clinton +4
,,,,,,,
Reuters/IpsosReuters,8/20 - 8/24,1049 LV,39,36,7,3,Clinton +3
,,,,,,,
Economist/YouGovEconomist,8/19 - 8/23,906 RV,42,38,6,4,Clinton +4
,,,,,,,
QuinnipiacQuinnipiac,8/18 - 8/24,1498 LV,45,38,10,4,Clinton +7
,,,,,,,
NBC News/SMNBC News,8/15 - 8/21,17459 RV,43,38,11,5,Clinton +5
,,,,,,,
Pew ResearchPew,8/9 - 8/16,1567 RV,41,37,10,4,Clinton +4
,,,,,,,
Rasmussen ReportsRasmussen,8/15 - 8/16,1000 LV,41,39,9,3,Clinton +2
,,,,,,,
Reuters/IpsosReuters,8/13 - 8/17,1049 LV,39,35,7,2,Clinton +4
,,,,,,,
Economist/YouGovEconomist,8/14 - 8/16,911 RV,41,35,7,3,Clinton +6
,,,,,,,
NBC News/SMNBC News,8/8 - 8/14,15179 RV,43,37,11,4,Clinton +6
,,,,,,,
Rasmussen ReportsRasmussen,8/9 - 8/10,1000 LV,43,40,8,2,Clinton +3
,,,,,,,
GravisGravis,8/9 - 8/9,2832 LV,42,37,9,3,Clinton +5
,,,,,,,
BloombergBloomberg,8/5 - 8/8,749 LV,44,40,9,4,Clinton +4
,,,,,,,
Reuters/IpsosReuters,8/6 - 8/10,974 LV,40,35,7,3,Clinton +5
,,,,,,,
Economist/YouGovEconomist,8/6 - 8/9,911 RV,42,36,9,2,Clinton +6
,,,,,,,
MonmouthMonmouth,8/4 - 8/7,683 LV,50,37,7,2,Clinton +13
,,,,,,,
NBC News/SMNBC News,8/1 - 8/7,11480 RV,44,38,10,4,Clinton +6
,,,,,,,
ABC News/Wash PostABC/WP,8/1 - 8/4,815 RV,45,37,8,4,Clinton +8
,,,,,,,
IBD/TIPPIBD/TIPP,7/29 - 8/4,851 RV,39,35,12,5,Clinton +4
,,,,,,,
McClatchy/MaristMcClatchy,8/1 - 8/3,983 RV,45,31,10,6,Clinton +14
,,,,,,,
NBC News/Wall St. JrnlNBC/WSJ,7/31 - 8/3,800 RV,43,34,10,5,Clinton +9
,,,,,,,
Rasmussen ReportsRasmussen,8/1 - 8/2,1000 LV,44,40,6,3,Clinton +4
,,,,,,,
Reuters/IpsosReuters,7/30 - 8/3,1072 LV,42,38,6,2,Clinton +4
,,,,,,,
Economist/YouGovEconomist,7/30 - 8/1,933 RV,41,36,8,4,Clinton +5
,,,,,,,
CNN/ORCCNN/ORC,7/29 - 7/31,894 RV,45,37,9,5,Clinton +8
,,,,,,,
PPP (D)PPP (D),7/29 - 7/30,1276 LV,46,41,6,2,Clinton +5
,,,,,,,
NBC News/SMNBC News,7/25 - 7/31,12742 RV,42,38,9,4,Clinton +4
,,,,,,,
Reuters/IpsosReuters,7/25 - 7/29,1433 LV,37,37,5,1,Tie
,,,,,,,
CNN/ORCCNN/ORC,7/22 - 7/24,882 RV,39,44,9,3,Trump +5
,,,,,,,
Economist/YouGovEconomist,7/23 - 7/24,1057 RV,40,38,5,3,Clinton +2
,,,,,,,
NBC News/SMNBC News,7/18 - 7/24,12931 RV,39,41,10,5,Trump +2
,,,,,,,
Reuters/IpsosReuters,7/16 - 7/20,1232 RV,39,35,7,3,Clinton +4
,,,,,,,
Economist/YouGovEconomist,7/15 - 7/17,925 RV,40,37,5,4,Clinton +3
,,,,,,,
MonmouthMonmouth,7/14 - 7/16,688 LV,45,43,5,1,Clinton +2
,,,,,,,
NBC News/SMNBC News,7/11 - 7/17,9436 RV,39,40,10,5,Trump +1
,,,,,,,
CNN/ORCCNN/ORC,7/13 - 7/16,872 RV,42,37,13,5,Clinton +5
,,,,,,,
ABC News/Wash PostABC/WP,7/11 - 7/14,816 RV,42,38,8,5,Clinton +4
,,,,,,,
NBC News/Wall St. JrnlNBC/WSJ,7/9 - 7/13,1000 RV,41,35,11,6,Clinton +6
,,,,,,,
Economist/YouGovEconomist,7/9 - 7/11,932 RV,40,37,5,2,Clinton +3
,,,,,,,
Associated Press-GfKAP-GfK,7/7 - 7/11,837 RV,40,36,6,2,Clinton +4
,,,,,,,
McClatchy/MaristMcClatchy,7/5 - 7/9,1053 RV,40,35,10,5,Clinton +5
,,,,,,,
Reuters/IpsosReuters,7/2 - 7/6,1345 RV,42,33,6,4,Clinton +9
,,,,,,,
Economist/YouGovEconomist,7/2 - 7/4,1004 RV,42,37,4,3,Clinton +5
,,,,,,,
USA Today/SuffolkUSA Today,6/26 - 6/29,1000 LV,39,35,8,3,Clinton +4
,,,,,,,
PPP (D)PPP (D),6/27 - 6/28,947 RV,45,41,5,2,Clinton +4
,,,,,,,
IBD/TIPPIBD/TIPP,6/24 - 6/29,837 RV,37,36,9,5,Clinton +1
,,,,,,,
Reuters/IpsosReuters,6/25 - 6/29,1247 RV,42,31,5,4,Clinton +11
,,,,,,,
QuinnipiacQuinnipiac,6/21 - 6/27,1610 RV,39,37,8,4,Clinton +2
,,,,,,,
ABC News/Wash PostABC/WP,6/20 - 6/23,836 RV,47,37,7,3,Clinton +10
,,,,,,,
NBC News/Wall St. JrnlNBC/WSJ,6/19 - 6/23,1000 RV,39,38,10,6,Clinton +1
,,,,,,,
Reuters/IpsosReuters,6/18 - 6/22,1339 RV,43,34,6,5,Clinton +9
,,,,,,,
CNN/ORCCNN/ORC,6/16 - 6/19,891 RV,42,38,9,7,Clinton +4
,,,,,,,
MonmouthMonmouth,6/15 - 6/19,721 LV,44,37,9,4,Clinton +7
,,,,,,,
Reuters/IpsosReuters,6/11 - 6/15,1323 RV,39,29,6,4,Clinton +10
,,,,,,,
Guardian/SurveyUSAGuardian/SUSA,6/8 - 6/8,1408 RV,39,36,6,4,Clinton +3
,,,,,,,
QuinnipiacQuinnipiac,5/24 - 5/30,1561 RV,40,38,5,3,Clinton +2
,,,,,,,
PPP (D)PPP (D),5/6 - 5/9,1222 RV,42,38,4,2,Clinton +4
