Poll,Date,Sample,Kerry (D),Bush (R),Spread
CNN/USA Today/GallupCNN/USA Today/Gallup,7/30 - 8/1,--,45,51,Bush +6
ABC News/Wash PostABC News/Wash Post,7/30 - 8/1,--,49,47,Kerry +2
ARGARG,7/30 - 8/1,--,49,45,Kerry +4
NewsweekNewsweek,7/29 - 7/30,--,49,42,Kerry +7
ABC News/Wash PostABC News/Wash Post,7/22 - 7/25,--,46,48,Bush +2
IBD/TIPPIBD/TIPP,7/19 - 7/24,--,44,42,Kerry +2
TimeTime,7/20 - 7/22,--,46,43,Kerry +3
QuinnipiacQuinnipiac,7/18 - 7/22,--,44,43,Kerry +1
FOX NewsFOX News,7/20 - 7/21,--,44,43,Kerry +1
NBC/WSJNBC/WSJ,7/19 - 7/21,--,45,47,Bush +2
CNN/USA Today/GallupCNN/USA Today/Gallup,7/19 - 7/21,--,47,46,Kerry +1
LA TimesLA Times,7/17 - 7/21,--,46,44,Kerry +2
Pew ResearchPew Research,7/8 - 7/18,--,46,44,Kerry +2
IBD/TIPPIBD/TIPP,7/12 - 7/17,--,42,40,Kerry +2
MaristMarist,7/12 - 7/15,--,45,44,Kerry +1
CBS News/NY TimesCBS News/NY Times,7/11 - 7/15,--,45,42,Kerry +3
Democracy Corps (D)Democracy Corps (D),7/10 - 7/13,--,48,45,Kerry +3
ABC News/Wash PostABC News/Wash Post,7/8 - 7/11,--,46,46,Tie
CNN/USA Today/GallupCNN/USA Today/Gallup,7/8 - 7/11,--,50,45,Kerry +5
IBD/TIPPIBD/TIPP,7/6 - 7/10,--,47,43,Kerry +4
NewsweekNewsweek,7/8 - 7/9,--,47,44,Kerry +3
TimeTime,7/6 - 7/8,--,47,45,Kerry +2
ZogbyZogby,7/6 - 7/7,--,47,45,Kerry +2
AP-IpsosAP-Ipsos,7/5 - 7/7,--,45,49,Bush +4
NBC/WSJNBC/WSJ,7/6 - 7/6,--,49,41,Kerry +8
ARGARG,7/1 - 7/3,--,47,44,Kerry +3
NBC/WSJNBC/WSJ,6/25 - 6/28,--,44,45,Bush +1
CBS News/NY TimesCBS News/NY Times,6/23 - 6/27,--,42,43,Bush +1
FOX NewsFOX News,6/22 - 6/23,--,40,47,Bush +7
CNN/USA Today/GallupCNN/USA Today/Gallup,6/21 - 6/23,--,47,48,Bush +1
BattlegroundBattleground,6/20 - 6/23,--,41,43,Bush +2
GallupGallup,6/9 - 6/30,--,44,45,Bush +1
ABC News/Wash PostABC News/Wash Post,6/17 - 6/20,--,48,44,Kerry +4
IBD/TIPPIBD/TIPP,6/14 - 6/19,--,41,44,Bush +3
HarrisHarris,6/8 - 6/15,--,41,51,Bush +10
IBD/TIPPIBD/TIPP,6/8 - 6/13,--,40,43,Bush +3
Pew ResearchPew Research,6/3 - 6/13,--,42,46,Bush +4
AP-IpsosAP-Ipsos,6/7 - 6/9,--,45,46,Bush +1
FOX NewsFOX News,6/8 - 6/9,--,42,42,Tie
LA TimesLA Times,6/5 - 6/8,--,48,42,Kerry +6
GallupGallup,6/3 - 6/6,--,50,44,Kerry +6
IBD/TIPPIBD/TIPP,6/1 - 6/6,--,41,43,Bush +2
ZogbyZogby,6/2 - 6/5,--,44,42,Kerry +2
ARGARG,6/1 - 6/3,--,46,45,Kerry +1
QuinnipiacQuinnipiac,5/18 - 5/24,--,42,43,Bush +1
CNN/USA Today/GallupCNN/USA Today/Gallup,5/21 - 5/23,--,47,46,Kerry +1
InsiderAdvantageInsiderAdvantage,5/21 - 5/22,--,43,43,Tie
ABC News/Wash PostABC News/Wash Post,5/20 - 5/23,--,46,46,Tie
CBS NewsCBS News,5/20 - 5/23,--,47,41,Kerry +6
FOX NewsFOX News,5/18 - 5/19,--,40,40,Tie
IBD/TIPPIBD/TIPP,5/12 - 5/18,--,41,42,Bush +1
NewsweekNewsweek,5/13 - 5/14,--,43,42,Kerry +1
Democracy Corps (D)Democracy Corps (D),5/10 - 5/13,--,46,45,Kerry +1
ZogbyZogby,5/10 - 5/13,--,47,42,Kerry +5
CNNCNN,5/12 - 5/13,--,49,44,Kerry +5
CNN/USA Today/GallupCNN/USA Today/Gallup,5/7 - 5/9,--,45,47,Bush +2
Pew ResearchPew Research,5/3 - 5/9,--,46,43,Kerry +3
Ayres McHenryAyres McHenry,5/3 - 5/6,--,41,45,Bush +4
ARGARG,5/3 - 5/3,--,45,44,Kerry +1
IBD/TIPPIBD/TIPP,5/2 - 5/8,--,41,46,Bush +5
AP-IpsosAP-Ipsos,5/3 - 5/5,--,43,46,Bush +3
CNN/USA Today/GallupCNN/USA Today/Gallup,5/2 - 5/4,--,47,47,Tie
NBC/WSJNBC/WSJ,5/1 - 5/3,--,42,46,Bush +4
QuinnipiacQuinnipiac,4/26 - 5/3,--,40,43,Bush +3
Sacred Heart UnivSacred Heart Univ,4/26 - 5/1,--,46,52,Bush +6
CBS News/NY TimesCBS News/NY Times,4/23 - 4/27,--,41,43,Bush +2
MaristMarist,4/20 - 4/23,--,43,47,Bush +4
FOX NewsFOX News,4/21 - 4/22,--,40,42,Bush +2
Democracy Corps (D)Democracy Corps (D),4/19 - 4/22,--,44,47,Bush +3
IBD/TIPPIBD/TIPP,4/14 - 4/19,--,40,44,Bush +4
CNN/USA Today/GallupCNN/USA Today/Gallup,4/16 - 4/18,--,44,50,Bush +6
ABC News/Wash PostABC News/Wash Post,4/15 - 4/18,--,43,48,Bush +5
ZogbyZogby,4/15 - 4/17,--,45.3,44.7,Kerry +0.6
HarrisHarris,4/8 - 4/15,--,43,46,Bush +3
InsiderAdvantageInsiderAdvantage,4/12 - 4/14,--,43,37,Kerry +6
NewsweekNewsweek,4/8 - 4/9,--,46,42,Kerry +4
ARGARG,4/6 - 4/9,--,48,43,Kerry +5
CNN/USA Today/GallupCNN/USA Today/Gallup,4/5 - 4/8,--,43,47,Bush +4
FOX NewsFOX News,4/6 - 4/7,--,42,43,Bush +1
AP-IpsosAP-Ipsos,4/5 - 4/7,--,44,45,Bush +1
ZogbyZogby,4/1 - 4/4,--,45,46,Bush +1
CBS NewsCBS News,3/30 - 4/1,--,48,43,Kerry +5
IBD/TIPPIBD/TIPP,3/29 - 4/3,--,45,43,Kerry +2
BattlegroundBattleground,3/28 - 3/31,--,39,43,Bush +4
LA TimesLA Times,3/27 - 3/30,--,47,44,Kerry +3
CNN/USA Today/GallupCNN/USA Today/Gallup,3/26 - 3/28,--,45,49,Bush +4
Pew ResearchPew Research,3/22 - 3/28,--,43,44,Bush +1
NewsweekNewsweek,3/25 - 3/26,--,43,45,Bush +2
FOX NewsFOX News,3/23 - 3/24,--,42,43,Bush +1
QuinnipiacQuinnipiac,3/16 - 3/22,--,40,46,Bush +6
AP-IpsosAP-Ipsos,3/19 - 3/21,--,43,46,Bush +3
Democracy Corps (D)Democracy Corps (D),3/16 - 3/21,--,47,50,Bush +3
InsiderAdvantageInsiderAdvantage,3/18 - 3/19,--,41,46,Bush +5
ZogbyZogby,3/17 - 3/19,--,46,46,Tie
NewsweekNewsweek,3/18 - 3/19,--,43,45,Bush +2
CBS News/NY TimesCBS News/NY Times,3/10 - 3/14,--,38,46,Bush +8
ARGARG,3/9 - 3/11,--,48,42,Kerry +6
IBD/TIPPIBD/TIPP,3/8 - 3/11,--,40,45,Bush +5
NBC/WSJNBC/WSJ,3/6 - 3/8,--,43,45,Bush +2
CNN/USA Today/GallupCNN/USA Today/Gallup,3/5 - 3/7,--,50,44,Kerry +6
ABC News/Wash PostABC News/Wash Post,3/4 - 3/7,--,48,44,Kerry +4
IBD/TIPPIBD/TIPP,3/1 - 3/7,--,44,41,Kerry +3
FOX NewsFOX News,3/3 - 3/4,--,44,44,Tie
AP-IpsosAP-Ipsos,3/1 - 3/3,--,45,46,Bush +1
NPRNPR,2/26 - 9/25,--,45,47,Bush +2
Pew ResearchPew Research,2/24 - 2/29,--,48,44,Kerry +4
CBS NewsCBS News,2/24 - 2/27,--,47,46,Kerry +1
NewsweekNewsweek,2/19 - 2/20,--,48,45,Kerry +3
FOX NewsFOX News,2/18 - 2/19,--,45,45,Tie
ARGARG,2/17 - 2/19,--,48,46,Kerry +2
CNN/USA Today/GallupCNN/USA Today/Gallup,2/16 - 2/17,--,55,43,Kerry +12
RasmussenRasmussen,2/15 - 2/17,--,43,48,Bush +5
Univ. of ConnecticutUniv. of Connecticut,2/12 - 2/16,--,46,45,Kerry +1
Pew ResearchPew Research,2/11 - 2/16,--,47,47,Tie
CBS NewsCBS News,2/12 - 2/15,--,48,43,Kerry +5
ABC News/Wash PostABC News/Wash Post,2/10 - 2/11,--,52,43,Kerry +9
RasmussenRasmussen,2/8 - 2/10,--,45,46,Bush +1
CNN/USA Today/GallupCNN/USA Today/Gallup,2/6 - 2/8,--,48,49,Bush +1
TimeTime,2/5 - 2/6,--,48,50,Bush +2
NewsweekNewsweek,2/5 - 2/6,--,50,45,Kerry +5
FOX NewsFOX News,2/4 - 2/5,--,43,47,Bush +4
CNN/USA Today/GallupCNN/USA Today/Gallup,1/29 - 2/1,--,53,46,Kerry +7
RasmussenRasmussen,1/29 - 1/31,--,46,43,Kerry +3
QuinnipiacQuinnipiac,1/28 - 1/31,--,51,43,Kerry +8
