Poll,Date,Sample,Clinton (D),Trump (R),Johnson (L),Stein (G),Spread,,Clinton (D),Trump (R)
GravisGravis,9/7 - 9/8,2348 LV,43,40,7,1,Clinton +3,,42.4,39.2
ABC News/Wash PostABC/WP,9/5 - 9/8,642 LV,46,41,9,2,Clinton +5,,42.4,40.2
Rasmussen ReportsRasmussen,9/6 - 9/7,1000 LV,43,39,9,2,Clinton +4,,41.4,39.4
Economist/YouGovEconomist,9/4 - 9/6,955 RV,40,38,7,5,Clinton +2,,41.2,39.6
Reuters/IpsosReuters,9/1 - 9/5,1084 LV,40,38,8,3,Clinton +2,,41,39.8
CNN/ORCCNN/ORC,9/1 - 9/4,786 LV,43,45,7,2,Trump +2,,41.2,40
NBC News/SMNBC News,8/29 - 9/4,32226 RV,41,37,12,4,Clinton +4,,40.4,39
GWU/BattlegroundGWU/Battleground,8/28 - 9/1,1000 LV,42,40,11,3,Clinton +2,,40.6,39
IBD/TIPPIBD/TIPP,8/26 - 9/1,861 LV,39,39,12,3,Tie,,40.6,38.4
FOX NewsFOX News,8/28 - 8/30,1011 RV,41,39,9,4,Clinton +2,,40.8,38.2
Rasmussen ReportsRasmussen,8/29 - 8/30,1000 LV,39,40,7,3,Trump +1,,41.8,38.2
PPP (D)PPP (D),8/26 - 8/28,881 LV,42,37,6,4,Clinton +5,,42.4,37.2
Economist/YouGovEconomist,8/27 - 8/29,1119 RV,42,37,7,3,Clinton +5,,42.2,37.2
Reuters/IpsosReuters,8/25 - 8/29,1404 LV,40,38,6,2,Clinton +2,,42.2,38
MonmouthMonmouth,8/25 - 8/28,689 LV,46,39,7,2,Clinton +7,,42.6,38
USA Today/SuffolkUSA Today,8/24 - 8/29,1000 LV,42,35,9,4,Clinton +7,,41.2,37.4
NBC News/SMNBC News,8/22 - 8/28,24104 RV,41,37,11,5,Clinton +4,,41.2,38
GravisGravis,8/22 - 8/23,1493 LV,42,41,4,1,Clinton +1,,42,38.2
Rasmussen ReportsRasmussen,8/23 - 8/24,1000 LV,42,38,9,2,Clinton +4,,42.2,37.6
Reuters/IpsosReuters,8/20 - 8/24,1049 LV,39,36,7,3,Clinton +3,,42,37.4
Economist/YouGovEconomist,8/19 - 8/23,906 RV,42,38,6,4,Clinton +4,,42.4,38
QuinnipiacQuinnipiac,8/18 - 8/24,1498 LV,45,38,10,4,Clinton +7,,41.8,37.4
NBC News/SMNBC News,8/15 - 8/21,17459 RV,43,38,11,5,Clinton +5,,41,36.8
Pew ResearchPew,8/9 - 8/16,1567 RV,41,37,10,4,Clinton +4,,41,36.6
Rasmussen ReportsRasmussen,8/15 - 8/16,1000 LV,41,39,9,3,Clinton +2,,41.4,37.2
Reuters/IpsosReuters,8/13 - 8/17,1049 LV,39,35,7,2,Clinton +4,,41.6,36.8
Economist/YouGovEconomist,8/14 - 8/16,911 RV,41,35,7,3,Clinton +6,,42.6,37.8
NBC News/SMNBC News,8/8 - 8/14,15179 RV,43,37,11,4,Clinton +6,,42.4,37.8
Rasmussen ReportsRasmussen,8/9 - 8/10,1000 LV,43,40,8,2,Clinton +3,,42.2,37.6
GravisGravis,8/9 - 8/9,2832 LV,42,37,9,3,Clinton +5,,43.6,37
BloombergBloomberg,8/5 - 8/8,749 LV,44,40,9,4,Clinton +4,,44,37.2
Reuters/IpsosReuters,8/6 - 8/10,974 LV,40,35,7,3,Clinton +5,,44.2,36.6
Economist/YouGovEconomist,8/6 - 8/9,911 RV,42,36,9,2,Clinton +6,,44,36.6
MonmouthMonmouth,8/4 - 8/7,683 LV,50,37,7,2,Clinton +13,,44.6,35.6
NBC News/SMNBC News,8/1 - 8/7,11480 RV,44,38,10,4,Clinton +6,,43.2,35
ABC News/Wash PostABC/WP,8/1 - 8/4,815 RV,45,37,8,4,Clinton +8,,43.2,35.4
IBD/TIPPIBD/TIPP,7/29 - 8/4,851 RV,39,35,12,5,Clinton +4,,42.6,35.6
McClatchy/MaristMcClatchy,8/1 - 8/3,983 RV,45,31,10,6,Clinton +14,,43,35.8
NBC News/Wall St. JrnlNBC/WSJ,7/31 - 8/3,800 RV,43,34,10,5,Clinton +9,,43,37
Rasmussen ReportsRasmussen,8/1 - 8/2,1000 LV,44,40,6,3,Clinton +4,,43.6,38.4
Reuters/IpsosReuters,7/30 - 8/3,1072 LV,42,38,6,2,Clinton +4,,43.2,38
Economist/YouGovEconomist,7/30 - 8/1,933 RV,41,36,8,4,Clinton +5,,42.2,37.8
CNN/ORCCNN/ORC,7/29 - 7/31,894 RV,45,37,9,5,Clinton +8,,41.8,39.4
PPP (D)PPP (D),7/29 - 7/30,1276 LV,46,41,6,2,Clinton +5,,40.8,39.6
NBC News/SMNBC News,7/25 - 7/31,12742 RV,42,38,9,4,Clinton +4,,39.4,39.6
Reuters/IpsosReuters,7/25 - 7/29,1433 LV,37,37,5,1,Tie,,38.8,39
CNN/ORCCNN/ORC,7/22 - 7/24,882 RV,39,44,9,3,Trump +5,,39.4,39
Economist/YouGovEconomist,7/23 - 7/24,1057 RV,40,38,5,3,Clinton +2,,40.6,38.8
NBC News/SMNBC News,7/18 - 7/24,12931 RV,39,41,10,5,Trump +2,,40.4,39.2
Reuters/IpsosReuters,7/16 - 7/20,1232 RV,39,35,7,3,Clinton +4,,41,38.4
Economist/YouGovEconomist,7/15 - 7/17,925 RV,40,37,5,4,Clinton +3,,41.6,39
MonmouthMonmouth,7/14 - 7/16,688 LV,45,43,5,1,Clinton +2,,41.8,38.6
NBC News/SMNBC News,7/11 - 7/17,9436 RV,39,40,10,5,Trump +1,,40.8,37.4
CNN/ORCCNN/ORC,7/13 - 7/16,872 RV,42,37,13,5,Clinton +5,,41,36.6
ABC News/Wash PostABC/WP,7/11 - 7/14,816 RV,42,38,8,5,Clinton +4,,40.6,36.2
NBC News/Wall St. JrnlNBC/WSJ,7/9 - 7/13,1000 RV,41,35,11,6,Clinton +6,,40.6,35.2
Economist/YouGovEconomist,7/9 - 7/11,932 RV,40,37,5,2,Clinton +3,,40.8,35.6
Associated Press-GfKAP-GfK,7/7 - 7/11,837 RV,40,36,6,2,Clinton +4,,40.6,35.2
McClatchy/MaristMcClatchy,7/5 - 7/9,1053 RV,40,35,10,5,Clinton +5,,41.6,36.2
Reuters/IpsosReuters,7/2 - 7/6,1345 RV,42,33,6,4,Clinton +9,,41,36.4
Economist/YouGovEconomist,7/2 - 7/4,1004 RV,42,37,4,3,Clinton +5,,41,36
USA Today/SuffolkUSA Today,6/26 - 6/29,1000 LV,39,35,8,3,Clinton +4,,40.4,36
PPP (D)PPP (D),6/27 - 6/28,947 RV,45,41,5,2,Clinton +4,,42,36.4
IBD/TIPPIBD/TIPP,6/24 - 6/29,837 RV,37,36,9,5,Clinton +1,,40.8,35.8
Reuters/IpsosReuters,6/25 - 6/29,1247 RV,42,31,5,4,Clinton +11,,42,35.4
QuinnipiacQuinnipiac,6/21 - 6/27,1610 RV,39,37,8,4,Clinton +2,,42,36.8
ABC News/Wash PostABC/WP,6/20 - 6/23,836 RV,47,37,7,3,Clinton +10,,43,36.8
NBC News/Wall St. JrnlNBC/WSJ,6/19 - 6/23,1000 RV,39,38,10,6,Clinton +1,,41.4,35.2
Reuters/IpsosReuters,6/18 - 6/22,1339 RV,43,34,6,5,Clinton +9,,41.4,34.8
CNN/ORCCNN/ORC,6/16 - 6/19,891 RV,42,38,9,7,Clinton +4,,40.8,35.6
MonmouthMonmouth,6/15 - 6/19,721 LV,44,37,9,4,Clinton +7,,40.8,35.6
Reuters/IpsosReuters,6/11 - 6/15,1323 RV,39,29,6,4,Clinton +10,,40,35.25
Guardian/SurveyUSAGuardian/SUSA,6/8 - 6/8,1408 RV,39,36,6,4,Clinton +3,,40.33333333,37.33333333
QuinnipiacQuinnipiac,5/24 - 5/30,1561 RV,40,38,5,3,Clinton +2,,41,38
PPP (D)PPP (D),5/6 - 5/9,1222 RV,42,38,4,2,Clinton +4,,42,38
