Poll,Date,Obama (D),McCain (R)
CNN/Opinion ResearchCNN/Opinion Research,10/17 - 10/19,51,44
Pew ResearchPew Research,10/16 - 10/19,50.4,43
Rasmussen ReportsRasmussen Reports,10/16 - 10/18,49.4,44.2
Gallup (Traditional)*Gallup (Traditional)*,10/16 - 10/18,49.2,44.4
Gallup (Expanded)*Gallup (Expanded)*,10/16 - 10/18,49.2,44.2
Diageo/HotlineDiageo/Hotline,10/16 - 10/18,49,44.4
Reuters/C-SPAN/ZogbyReuters/C-SPAN/Zogby,10/16 - 10/18,48.8,44.6
Democracy Corps (D)Democracy Corps (D),10/15 - 10/19,49.2,44.6
GWU/BattlegroundGWU/Battleground,10/13 - 10/19,48.8,43.8
F&M;/Hearst-ArgyleF&M;/Hearst-Argyle,10/13 - 10/19,48.8,43.4
IBD/TIPPIBD/TIPP,10/14 - 10/18,49,43.4
Rasmussen ReportsRasmussen Reports,10/11 - 10/13,50.2,43.6
Diageo/HotlineDiageo/Hotline,10/11 - 10/13,50.2,42.8
Reuters/C-SPAN/ZogbyReuters/C-SPAN/Zogby,10/11 - 10/13,51.2,42.2
Gallup (Traditional)*Gallup (Traditional)*,10/11 - 10/13,52,41.6
Gallup (Expanded)*Gallup (Expanded)*,10/11 - 10/13,50.8,41
LA Times/BloombergLA Times/Bloomberg,10/10 - 10/13,50.2,41.6
CBS News/NY TimesCBS News/NY Times,10/10 - 10/13,50.6,42.4
GWU/BattlegroundGWU/Battleground,10/8 - 10/13,49.8,43
IBD/TIPPIBD/TIPP,10/7 - 10/13,48.8,42.8
USA Today/Gallup (Traditional)*USA Today/Gallup (Traditional)*,10/10 - 10/12,50,42.8
USA Today/Gallup (Expanded)*USA Today/Gallup (Expanded)*,10/10 - 10/12,50.6,42.2
Pew ResearchPew Research,10/9 - 10/12,49.4,41
Ipsos/McClatchyIpsos/McClatchy,10/9 - 10/13,50,40.8
Democracy Corps (D)Democracy Corps (D),10/8 - 10/12,50.4,42
ABC News/Wash PostABC News/Wash Post,10/8 - 10/11,50.4,41.8
FOX NewsFOX News,10/8 - 10/9,49.4,41.4
NewsweekNewsweek,10/8 - 10/9,49.8,42.2
Rasmussen ReportsRasmussen Reports,10/7 - 10/9,49.6,42.6
GallupGallup,10/7 - 10/9,49.6,42.4
Hotline/FDHotline/FD,10/7 - 10/9,49.2,42.8
Reuters/C-SPAN/ZogbyReuters/C-SPAN/Zogby,10/6 - 10/9,49.2,43.6
GWU/BattlegroundGWU/Battleground,10/6 - 10/9,50.2,44
TimeTime,10/3 - 10/6,49.4,43.4
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,10/4 - 10/5,49.2,43.8
CBS NewsCBS News,10/3 - 10/5,49.2,44
CNNCNN,10/3 - 10/5,49.6,43.2
Ipsos/McClatchyIpsos/McClatchy,10/2 - 10/6,48.6,42.4
Democracy Corps (D)Democracy Corps (D),10/1 - 10/5,49.2,43.6
MaristMarist,9/28 - 9/30,49.2,43
CBS NewsCBS News,9/27 - 9/30,49,43.2
Associated Press/GfKAssociated Press/GfK,9/27 - 9/30,49,43.6
ABC News/Wash PostABC News/Wash Post,9/27 - 9/29,49.2,44.2
Pew ResearchPew Research,9/27 - 9/29,49.2,43.8
Ipsos/McClatchyIpsos/McClatchy,9/26 - 9/29,49,43.8
TimeTime,9/26 - 9/29,48.6,44.4
Gallup TrackingGallup Tracking,9/24 - 9/26,48.2,44.4
Rasmussen TrackingRasmussen Tracking,9/24 - 9/26,47.4,43.4
Hotline/FD TrackingHotline/FD Tracking,9/24 - 9/26,47.2,43.4
GWU/BattlegroundGWU/Battleground,9/21 - 9/25,47.2,44
CBS News/NY TimesCBS News/NY Times,9/21 - 9/24,48.4,43
FOX NewsFOX News,9/22 - 9/23,48.6,43.4
MaristMarist,9/22 - 9/23,48.4,44.2
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,9/19 - 9/22,48.8,44.8
ABC News/Wash PostABC News/Wash Post,9/19 - 9/22,48.2,45
LA Times/BloombergLA Times/Bloomberg,9/19 - 9/22,47.4,45.2
Ipsos/McClatchyIpsos/McClatchy,9/18 - 9/22,47.2,45.8
CNN/Opinion ResearchCNN/Opinion Research,9/19 - 9/21,47.6,45.6
F&M;/Hearst-ArgyleF&M;/Hearst-Argyle,9/15 - 9/21,46.8,45.6
Gallup TrackingGallup Tracking,9/15 - 9/17,47.6,45
Rasmussen TrackingRasmussen Tracking,9/15 - 9/17,47.8,45.2
Hotline/FD TrackingHotline/FD Tracking,9/15 - 9/17,47.4,44.8
GWU/BattlegroundGWU/Battleground,9/11 - 9/18,47.6,45.4
CBS News/NY TimesCBS News/NY Times,9/12 - 9/16,47.4,45.2
QuinnipiacQuinnipiac,9/11 - 9/16,46.4,46
Pew ResearchPew Research,9/9 - 9/14,45.4,46.6
Reuters/ZogbyReuters/Zogby,9/11 - 9/13,44.6,46.4
NewsweekNewsweek,9/10 - 9/11,43.8,47
GWU/BattlegroundGWU/Battleground,9/7 - 9/11,44.2,47.2
Associated Press/GfKAssociated Press/GfK,9/5 - 9/10,44.4,46.6
FOX NewsFOX News,9/8 - 9/9,44.8,46
Gallup TrackingGallup Tracking,9/7 - 9/9,45.8,46.8
Rasmussen TrackingRasmussen Tracking,9/7 - 9/9,46,48
Hotline/FD TrackingHotline/FD Tracking,9/7 - 9/9,45.2,47.8
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,9/6 - 9/8,45.8,48.4
ABC News/Wash PostABC News/Wash Post,9/5 - 9/7,45.6,47.4
USA Today/GallupUSA Today/Gallup,9/5 - 9/7,44.6,46
CBS News*CBS News*,9/5 - 9/7,45.8,43.6
CNN/OpinionResearchCNN/OpinionResearch,9/5 - 9/7,47.2,43.4
IBD/TIPPIBD/TIPP,9/2 - 9/7,47.6,42.4
CBS NewsCBS News,9/1 - 9/3,48.4,44
Gallup TrackingGallup Tracking,8/30 - 9/1,49.6,43.4
Rasmussen TrackingRasmussen Tracking,8/30 - 9/1,49.2,43
USAT/Gallup Tracking*USAT/Gallup Tracking*,8/30 - 8/31,47.8,43.2
CNNCNN,8/29 - 8/31,47,43.8
Hotline/FDHotline/FD,8/29 - 8/31,46.6,43.6
CBS NewsCBS News,8/29 - 8/31,45.8,43.8
Gallup TrackingGallup Tracking,8/23 - 8/25,45.8,44.8
Rasmussen TrackingRasmussen Tracking,8/23 - 8/25,46.8,44.6
CNNCNN,8/23 - 8/24,46,43.2
Hotline/FDHotline/FD,8/18 - 8/24,45.6,42.2
USA Today/GallupUSA Today/Gallup,8/21 - 8/23,45.8,42.6
ABC News/Wash PostABC News/Wash Post,8/19 - 8/22,45.2,42.2
FOX NewsFOX News,8/19 - 8/20,44.6,41.8
CBS News/NY TimesCBS News/NY Times,8/15 - 8/19,45.6,43.2
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,8/15 - 8/18,44.8,44
LA Times/BloombergLA Times/Bloomberg,8/15 - 8/18,45.2,44
Gallup TrackingGallup Tracking,8/15 - 8/17,45.4,44.8
Rasmussen TrackingRasmussen Tracking,8/15 - 8/17,44.8,43.8
Reuters/ZogbyReuters/Zogby,8/14 - 8/16,44.6,43.2
QuinnipiacQuinnipiac,8/12 - 8/17,45.4,41.8
BattlegroundBattleground,8/10 - 8/14,45.2,42
IBD/TIPPIBD/TIPP,8/4 - 8/9,45.2,42
Pew ResearchPew Research,7/31 - 8/10,45.8,42.6
CBS NewsCBS News,7/31 - 8/5,46.2,42.4
Gallup TrackingGallup Tracking,8/1 - 8/3,47.4,43.4
Rasmussen TrackingRasmussen Tracking,8/1 - 8/3,47.2,44.6
TimeTime,7/31 - 8/4,47.4,43.6
AP-IpsosAP-Ipsos,7/31 - 8/4,48.2,44.4
CNNCNN,7/27 - 7/29,46.8,44
USA Today/GallupUSA Today/Gallup,7/25 - 7/27,46,43.4
Pew ResearchPew Research,7/23 - 7/27,46.4,42.4
Democracy Corps (D)Democracy Corps (D),7/21 - 7/24,46.6,43
FOX NewsFOX News,7/22 - 7/23,45.6,41.8
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,7/18 - 7/21,47.2,43
Gallup TrackingGallup Tracking,7/13 - 7/15,47.2,42.8
Rasmussen TrackingRasmussen Tracking,7/13 - 7/15,47.8,42.2
CBS News/NY TimesCBS News/NY Times,7/7 - 7/14,46.2,40.6
ABC News/Wash PostABC News/Wash Post,7/10 - 7/13,46,41
Reuters/ZogbyReuters/Zogby,7/9 - 7/13,45.6,40.4
QuinnipiacQuinnipiac,7/8 - 7/13,46,41.2
IBD/TIPPIBD/TIPP,7/7 - 7/11,46,42
NewsweekNewsweek,7/9 - 7/10,47.2,42.2
GallupGallup,6/30 - 7/2,48,42
RasmussenRasmussen,6/29 - 7/1,48.4,42.4
CNNCNN,6/26 - 6/29,48,42.2
McLaughlin (R)McLaughlin (R),6/26 - 6/29,47.8,40.6
Pew ResearchPew Research,6/18 - 6/29,47,40.2
Democracy Corps (D)Democracy Corps (D),6/22 - 6/25,47.6,39.4
TimeTime,6/19 - 6/25,46.8,38.6
LA Times/BloombergLA Times/Bloomberg,6/19 - 6/23,47.4,38.8
F&M;/Hearst-ArgyleF&M;/Hearst-Argyle,6/16 - 6/22,47.4,40.4
NewsweekNewsweek,6/18 - 6/19,47.8,41.2
FOX NewsFOX News,6/17 - 6/18,47,42.4
USA Today/GallupUSA Today/Gallup,6/15 - 6/19,48,42.8
ABC News/Wash PostABC News/Wash Post,6/12 - 6/15,47.8,42.8
Cook/RT StrategiesCook/RT Strategies,6/12 - 6/15,47.6,42
Reuters/ZogbyReuters/Zogby,6/12 - 6/14,48.2,42.2
IpsosIpsos,6/5 - 6/11,47.6,42.2
RasmussenRasmussen,6/8 - 6/10,46.2,41.6
GallupGallup,6/7 - 6/9,46.2,42
NBC News/Wall St. JrnlNBC News/Wall St. Jrnl,6/6 - 6/9,46.2,42.2
Hotline/FDHotline/FD,6/5 - 6/8,46.2,42.8
IBD/TIPPIBD/TIPP,6/2 - 6/8,46.2,43
CNNCNN,6/4 - 6/5,47,43.8
CBS NewsCBS News,5/30 - 6/3,46.4,43.8
USA Today/GallupUSA Today/Gallup,5/30 - 6/1,46.4,43.4
Cook/RT StrategiesCook/RT Strategies,5/29 - 5/31,46.6,42
Pew ResearchPew Research,5/21 - 5/25,46.6,42.4
NewsweekNewsweek,5/21 - 5/22,46,43
Reuters/ZogbyReuters/Zogby,5/15 - 5/18,46.4,43
IBD/TIPPIBD/TIPP,5/12 - 5/18,46.6,44.4
RasmussenRasmussen,5/13 - 5/16,46.4,45
GallupGallup,5/12 - 5/16,47.8,44.8
Democracy Corps (D)Democracy Corps (D),5/13 - 5/15,48.6,44
BattlegroundBattleground,5/11 - 5/14,48.2,42.8
QuinnipiacQuinnipiac,5/8 - 5/12,47.6,41.8
ABC News/Wash PostABC News/Wash Post,5/8 - 5/11,47.6,43.4
POS/GQRPOS/GQR,5/7 - 5/8,47.6,42.6
LA Times/BloombergLA Times/Bloomberg,5/1 - 5/8,47.4,42.6
IpsosIpsos,4/30 - 5/4,48,43.6
USA Today/GallupUSA Today/Gallup,5/1 - 5/3,47.4,44.4
CBS News/NY TimesCBS News/NY Times,5/1 - 5/3,47,43.8
Hotline/FDHotline/FD,4/30 - 5/3,46,44.4
CNNCNN,4/28 - 4/30,45.8,45
FOX NewsFOX News,4/28 - 4/29,46,44.8
CBS News/NY TimesCBS News/NY Times,4/25 - 4/29,46.6,44.4
NBC/WSJNBC/WSJ,4/25 - 4/28,47,44.2
RasmussenRasmussen,4/24 - 4/27,47.2,44.4
Pew ResearchPew Research,4/23 - 4/27,47,44
AP-IpsosAP-Ipsos,4/23 - 4/27,46.6,44
NewsweekNewsweek,4/24 - 4/25,46.4,44.2
USA Today/GallupUSA Today/Gallup,4/18 - 4/20,46.8,44.2
Cook/RT StrategiesCook/RT Strategies,4/17 - 4/20,45.8,45.2
NewsweekNewsweek,4/16 - 4/17,45.8,45.4
Reuters/ZogbyReuters/Zogby,4/10 - 4/13,45.2,45.6
ABC/Wash PostABC/Wash Post,4/10 - 4/13,45.6,45
RasmussenRasmussen,4/10 - 4/13,44.6,45.4
AP-IpsosAP-Ipsos,4/7 - 4/9,44.6,45
GallupGallup,4/2 - 4/6,44.4,44.4
CBS News/NY TimesCBS News/NY Times,3/28 - 4/2,45.2,44
Hotline/FDHotline/FD,3/28 - 3/31,44.4,44.4
RasmussenRasmussen,3/27 - 3/30,45.2,43.8
NBC/WSJNBC/WSJ,3/24 - 3/25,46.2,43.6
Pew ResearchPew Research,3/19 - 3/22,47.2,44.6
FOX NewsFOX News,3/18 - 3/19,45.4,45.2
CBS NewsCBS News,3/15 - 3/18,46.2,45.2
CNNCNN,3/14 - 3/16,45.2,45.6
USA Today/GallupUSA Today/Gallup,3/14 - 3/15,45,45.4
Reuters/ZogbyReuters/Zogby,3/13 - 3/14,45.8,44.4
NBC/WSJNBC/WSJ,3/7 - 3/10,47.2,42.8
Cook/RT StrategiesCook/RT Strategies,3/6 - 3/9,46.2,42.8
NewsweekNewsweek,3/5 - 3/6,47.8,42
ABC/Wash PostABC/Wash Post,2/28 - 3/2,48,42.6
Cook/RT StrategiesCook/RT Strategies,2/28 - 3/2,47.4,42.8
LA Times/BloombergLA Times/Bloomberg,2/21 - 2/25,48,42.8
AP-IpsosAP-Ipsos,2/22 - 2/24,49,42.6
USA Today/GallupUSA Today/Gallup,2/21 - 2/24,48.4,42.4
Pew ResearchPew Research,2/20 - 2/24,48.4,40.8
CBS News/NY TimesCBS News/NY Times,2/20 - 2/24,48.4,41.4
FOX NewsFOX News,2/19 - 2/20,48,42.2
Hotline/FDHotline/FD,2/14 - 2/17,48.2,41.8
Reuters/ZogbyReuters/Zogby,2/13 - 2/16,49,42.6
USA Today/GallupUSA Today/Gallup,2/8 - 2/10,48.6,43.2
AP-IpsosAP-Ipsos,2/7 - 2/10,48.4,43.2
TimeTime,2/1 - 2/4,47.6,43.4
CNNCNN,2/1 - 2/3,47.4,44.8
Cook/RT StrategiesCook/RT Strategies,1/31 - 2/2,45.2,45.4
ABC/Wash PostABC/Wash Post,1/30 - 2/1,44.6,45.2
FOX NewsFOX News,1/30 - 1/31,43,44.4
NPRNPR,1/29 - 1/31,43.4,44
RasmussenRasmussen,1/25 - 1/27,43,44.4
NBC/WSJNBC/WSJ,1/20 - 1/22,43,42.8
LA Times/BloombergLA Times/Bloomberg,1/18 - 1/22,44.4,44
RasmussenRasmussen,1/16 - 1/17,44.8,44.8
USA Today/GallupUSA Today/Gallup,1/10 - 1/13,43.6,45.4
Hotline/FDHotline/FD,1/10 - 1/12,44,44
CNNCNN,1/9 - 1/10,45.4,45.8
RasmussenRasmussen,1/4 - 1/6,44.4,45
FOX NewsFOX News,12/18 - 12/19,45,44.4
ZogbyZogby,12/12 - 12/14,46.4,44.4
CNNCNN,12/6 - 12/9,45.6,44.4
RasmussenRasmussen,11/26 - 11/27,44.8,42
RasmussenRasmussen,11/16 - 11/17,44,40.8
GallupGallup,11/11 - 11/14,44,40.4
QuinnipiacQuinnipiac,10/23 - 10/29,43.2,39.4
LA Times/BloombergLA Times/Bloomberg,10/19 - 10/22,43.8,38.8
FOX NewsFOX News,9/25 - 9/26,44.4,39
RasmussenRasmussen,9/19 - 9/20,45.8,39
QuinnipiacQuinnipiac,8/7 - 8/13,45.6,39.2
RasmussenRasmussen,8/1 - 8/2,46.6,40.2
FOX NewsFOX News,7/17 - 7/18,47.6,40.4
RasmussenRasmussen,7/16 - 7/17,47.4,40.6
ZogbyZogby,7/12 - 7/14,47.6,42.2
CNNCNN,6/22 - 6/24,47.2,42
NewsweekNewsweek,6/20 - 6/21,47,40.2
RasmussenRasmussen,6/13 - 6/14,46,40.6
USA Today/GallupUSA Today/Gallup,6/11 - 6/14,45.2,40.8
QuinnipiacQuinnipiac,6/5 - 6/11,46,39.4
LA Times/BloombergLA Times/Bloomberg,6/7 - 6/10,45.2,40.4
ZogbyZogby,5/17 - 5/20,44.2,41.8
Hotline/FDHotline/FD,5/16 - 5/20,44.6,40.6
NewsweekNewsweek,5/2 - 5/3,45.2,40.6
MaristMarist,4/26 - 5/1,44.4,41.2
QuinnipiacQuinnipiac,4/25 - 5/1,46,40.4
Hotline/FDHotline/FD,4/26 - 4/30,47.2,40
NBC/WSJNBC/WSJ,4/20 - 4/23,46.2,41.6
RasmussenRasmussen,4/9 - 4/10,46,42.6
TimeTime,4/5 - 4/9,45.2,42.4
LA Times/BloombergLA Times/Bloomberg,4/5 - 4/9,44.2,43.2
TimeTime,3/23 - 3/26,43.6,43.8
RasmussenRasmussen,3/14 - 3/15,44.2,43.2
TimeTime,3/9 - 3/12,44.2,42.4
American Res. GroupAmerican Res. Group,3/2 - 3/5,44,42.8
NewsweekNewsweek,2/28 - 3/1,43.8,42.4
TimeTime,2/23 - 2/26,44.4,43.4
ZogbyZogby,2/22 - 2/24,44,43.8
QuinnipiacQuinnipiac,2/13 - 2/19,44.8,44.2
MaristMarist,2/12 - 2/15,44.6,45.4
USA Today/GallupUSA Today/Gallup,2/9 - 2/11,45.8,45.6
RasmussenRasmussen,2/7 - 2/8,45.6,44.8
NewsweekNewsweek,1/24 - 1/25,46,44.8
TimeTime,1/22 - 1/23,44,45
ABC News/Wash PostABC News/Wash Post,1/16 - 1/19,43.4,45.4
RasmussenRasmussen,1/17 - 1/18,41.2,46
NewsweekNewsweek,1/17 - 1/18,40.4,46.6
Hotline/FDHotline/FD,1/11 - 1/14,39.2,47
BattlegroundBattleground,1/8 - 1/11,40.2,47.4
IBD/TIPPIBD/TIPP,1/2 - 1/4,38.4,47
CNNCNN,12/15 - 12/17,39,46.8
RasmussenRasmussen,12/12 - 12/13,38,46.75
NewsweekNewsweek,12/6 - 12/7,37.33333333,47
FOX NewsFOX News,12/5 - 12/6,34.5,48
RasmussenRasmussen,11/6 - 11/7,39,47
