Poll,Date,Democrats (D),Republicans (R)
CBS NewsCBS News,3/20 - 3/23,41.0,40.2
NPR/GQR/ResurgentNPR/GQR/Resurgent,3/19 - 3/23,41.8,40.4
GWU/BattlegroundGWU/Battleground,3/16 - 3/20,40.8,39.6
Rasmussen ReportsRasmussen Reports,3/17 - 3/23,40.2,38.6
Rasmussen ReportsRasmussen Reports,3/10 - 3/16,41.2,40.2
PPP (D)PPP (D),3/6 - 3/9,41.4,39.6
Rasmussen ReportsRasmussen Reports,3/3 - 3/9,40.6,40.0
FOX NewsFOX News,3/2 - 3/4,41.0,39.6
ABC News/Wash PostABC News/Wash Post,2/27 - 3/2,41.2,39.4
Rasmussen ReportsRasmussen Reports,2/24 - 3/2,41.2,39.2
CBS News/NY TimesCBS News/NY Times,2/19 - 2/23,41.4,39.6
Rasmussen ReportsRasmussen Reports,2/17 - 2/23,41.4,39.2
Rasmussen ReportsRasmussen Reports,2/10 - 2/16,41.2,40.2
McClatchy/MaristMcClatchy/Marist,2/4 - 2/9,41.4,40.2
Rasmussen ReportsRasmussen Reports,2/3 - 2/9,41.2,40.6
Rasmussen ReportsRasmussen Reports,1/27 - 2/2,41.4,41.6
PPP (D)PPP (D),1/23 - 1/26,41.0,41.2
Rasmussen ReportsRasmussen Reports,1/20 - 1/26,41.2,41.4
ABC News/Wash PostABC News/Wash Post,1/20 - 1/23,41.0,41.0
FOX NewsFOX News,1/19 - 1/21,40.2,39.2
QuinnipiacQuinnipiac,1/15 - 1/19,39.4,38.2
GWU/BattlegroundGWU/Battleground,1/12 - 1/16,40.0,38.2
Rasmussen ReportsRasmussen Reports,1/13 - 1/19,39.8,37.6
Rasmussen ReportsRasmussen Reports,1/6 - 1/12,39.4,39.0
QuinnipiacQuinnipiac,1/4 - 1/7,40.0,41.4
Rasmussen ReportsRasmussen Reports,12/30 - 1/5,41.2,42.4
Rasmussen ReportsRasmussen Reports,12/23 - 12/29,42.6,43.8
Rasmussen ReportsRasmussen Reports,12/16 - 12/22,43.2,43.8
CNN/Opinion ResearchCNN/Opinion Research,12/16 - 12/19,43.4,43.4
FOX NewsFOX News,12/14 - 12/16,42.2,41.8
ABC News/Wash PostABC News/Wash Post,12/12 - 12/15,43.2,42.0
PPP (D)PPP (D),12/12 - 12/15,41.4,41.6
Rasmussen ReportsRasmussen Reports,12/9 - 12/15,41.4,42.2
QuinnipiacQuinnipiac,12/3 - 12/9,41.0,42.8
USA Today/Pew ResearchUSA Today/Pew Research,12/3 - 12/8,42.8,44.4
Rasmussen ReportsRasmussen Reports,12/2 - 12/8,41.4,43.6
McClatchy/MaristMcClatchy/Marist,12/3 - 12/5,41.6,43.0
Rasmussen ReportsRasmussen Reports,11/25 - 12/1,41.0,43.0
CNN/Opinion ResearchCNN/Opinion Research,11/18 - 11/20,41.2,42.2
Rasmussen ReportsRasmussen Reports,11/18 - 11/24,40.0,40.2
Rasmussen ReportsRasmussen Reports,11/11 - 11/17,40.4,39.6
FOX NewsFOX News,11/10 - 11/12,41.4,39.2
QuinnipiacQuinnipiac,11/6 - 11/11,42.2,38.8
Rasmussen ReportsRasmussen Reports,11/4 - 11/10,43.0,38.4
Rasmussen ReportsRasmussen Reports,10/28 - 11/3,43.8,38.0
PPP (D)PPP (D),10/29 - 10/31,45.2,39.0
GWU/BattlegroundGWU/Battleground,10/27 - 10/31,46.0,39.4
Rasmussen ReportsRasmussen Reports,10/21 - 10/27,45.8,38.4
FOX NewsFOX News,10/20 - 10/22,47.0,39.6
CNN/Opinion ResearchCNN/Opinion Research,10/18 - 10/20,47.0,39.8
ABC News/Wash PostABC News/Wash Post,10/17 - 10/20,46.4,40.0
Rasmussen ReportsRasmussen Reports,10/14 - 10/20,46.0,40.2
Pew ResearchPew Research,10/9 - 10/13,45.4,41.0
Rasmussen ReportsRasmussen Reports,10/7 - 10/13,44.0,40.0
Democracy Corps (D)Democracy Corps (D),10/6 - 10/8,43.6,39.2
PPP (D)PPP (D),10/4 - 10/6,43.2,38.6
Rasmussen ReportsRasmussen Reports,9/30 - 10/6,42.0,37.8
Rasmussen ReportsRasmussen Reports,9/23 - 9/29,41.6,37.4
QuinnipiacQuinnipiac,9/23 - 9/29,41.0,37.6
PPP (D)PPP (D),9/25 - 9/26,40.2,38.2
Rasmussen ReportsRasmussen Reports,9/16 - 9/22,38.8,38.0
Rasmussen ReportsRasmussen Reports,9/9 - 9/15,38.4,38.2
Rasmussen ReportsRasmussen Reports,9/2 - 9/8,38.6,38.4
Rasmussen ReportsRasmussen Reports,8/26 - 9/1,38.4,38.8
Rasmussen ReportsRasmussen Reports,8/19 - 8/25,38.6,38.6
Rasmussen ReportsRasmussen Reports,8/12 - 8/18,38.8,38.4
Rasmussen ReportsRasmussen Reports,8/5 - 8/11,39.2,38.4
Rasmussen ReportsRasmussen Reports,7/29 - 8/4,40.0,39.4
QuinnipiacQuinnipiac,7/28 - 7/31,40.0,39.0
Rasmussen ReportsRasmussen Reports,7/22 - 7/28,39.8,38.6
Rasmussen ReportsRasmussen Reports,7/15 - 7/21,39.8,39.0
Democracy Corps (D)Democracy Corps (D),7/10 - 7/15,39.4,39.2
Rasmussen ReportsRasmussen Reports,7/8 - 7/14,38.8,38.2
QuinnipiacQuinnipiac,6/28 - 7/8,39.0,38.2
Rasmussen ReportsRasmussen Reports,7/1 - 7/7,40.6,39.4
Rasmussen ReportsRasmussen Reports,6/24 - 6/30,40.8,39.0
Rasmussen ReportsRasmussen Reports,6/17 - 6/23,41.2,39.2
Rasmussen ReportsRasmussen Reports,6/10 - 6/16,40.8,39.0
PPP (D)PPP (D),6/11 - 6/13,41.2,39.0
Rasmussen ReportsRasmussen Reports,6/3 - 6/9,41.4,39.0
Rasmussen ReportsRasmussen Reports,5/27 - 6/2,41.2,39.4
QuinnipiacQuinnipiac,5/22 - 5/28,41.2,39.0
Rasmussen ReportsRasmussen Reports,5/20 - 5/26,42.6,40.0
ABC News/Wash PostABC News/Wash Post,5/16 - 5/19,42.4,39.8
Rasmussen ReportsRasmussen Reports,5/13 - 5/19,41.0,39.2
Rasmussen ReportsRasmussen Reports,5/6 - 5/11,41.0,39.2
PPP (D)PPP (D),5/6 - 5/9,41.2,39.4
Rasmussen ReportsRasmussen Reports,4/29 - 5/5,40.6,38.4
QuinnipiacQuinnipiac,4/25 - 4/29,40.8,38.4
Rasmussen ReportsRasmussen Reports,4/22 - 4/28,41.2,38.0
Rasmussen ReportsRasmussen Reports,4/15 - 4/21,42.6,38.4
Rasmussen ReportsRasmussen Reports,4/8 - 4/14,43.2,38.0
Rasmussen ReportsRasmussen Reports,4/1 - 4/7,43.4,38.0
QuinnipiacQuinnipiac,3/26 - 4/1,43.8,38.0
PPP (D)PPP (D),3/27 - 3/30,44.4,39.4
Rasmussen ReportsRasmussen Reports,3/25 - 3/31,43.8,39.0
Rasmussen ReportsRasmussen Reports,3/18 - 3/24,43.6,39.6
Rasmussen ReportsRasmussen Reports,3/11 - 3/17,43.6,39.6
Democracy Corps (D)Democracy Corps (D),3/9 - 3/12,43.6,39.4
Rasmussen ReportsRasmussen Reports,3/4 - 3/10,42.8,38.8
Rasmussen ReportsRasmussen Reports,2/25 - 3/3,43.2,39.8
Rasmussen ReportsRasmussen Reports,2/18 - 2/24,43.4,39.4
Rasmussen ReportsRasmussen Reports,2/11 - 2/17,43.8,39.2
Rasmussen ReportsRasmussen Reports,2/4 - 2/10,44.0,39.6
PPP (D)PPP (D),1/31 - 2/3,44.8,40.2
Rasmussen ReportsRasmussen Reports,1/28 - 2/3,44.4,38.6
Rasmussen ReportsRasmussen Reports,1/21 - 1/27,45.0,39.2
Rasmussen ReportsRasmussen Reports,1/14 - 1/20,44.8,39.4
Democracy Corps (D)Democracy Corps (D),1/10 - 1/14,45.2,38.6
Rasmussen ReportsRasmussen Reports,1/7 - 1/13,44.8,37.8
PPP (D)PPP (D),1/3 - 1/6,45.4,38.0
Rasmussen ReportsRasmussen Reports,1/2 - 1/6,45.2,37.0
Rasmussen ReportsRasmussen Reports,12/26 - 12/30,45.4,37.8
Rasmussen ReportsRasmussen Reports,12/17 - 12/22,45.6,38.0
Rasmussen ReportsRasmussen Reports,12/10 - 12/16,45.8,38.4
Rasmussen ReportsRasmussen Reports,12/3 - 12/9,45.6,38.8
Politico/GWU/BattlegroundPolitico/GWU/Battleground,12/2 - 12/6,45.4,40.0
Rasmussen ReportsRasmussen Reports,11/26 - 12/2,45.5,39.5
Rasmussen ReportsRasmussen Reports,11/19 - 11/25,45.0,40.7
Rasmussen ReportsRasmussen Reports,11/12 - 11/18,45.0,41.0
Rasmussen ReportsRasmussen Reports,11/5 - 11/11,45.0,42.0
